Energy_DPMD (eV),x,y,z
-45580.72395,5.9,12.3,8.9
-45580.2764,6.5,12.0,8.9
-45581.2608,7.8,5.3,9.3
-45579.97382,8.4,5.0,9.3
-45580.07621,8.6,8.4,9.3
-45580.12157,9.0,7.8,10.0
-45580.87189,3.4,8.8,8.9
-45581.40249,5.1,5.9,8.9
-45583.18362,5.5,5.4,9.3
-45579.98603,6.1,8.2,10.0
-45581.8535,6.2,5.6,10.0
-45583.66935,6.9,4.9,9.3
-45580.15941,7.4,12.4,8.9
-45579.98729,4.5,5.7,10.0
-45581.19718,4.6,4.8,9.3
-45580.80022,5.0,5.4,10.0
-45580.15943,5.4,5.9,10.4
-45579.92006,5.6,5.6,10.7
-45582.80864,6.0,5.7,9.3
-45579.92548,6.2,7.0,10.4
-45580.04907,6.8,6.4,10.4
-45580.23798,5.0,6.1,10.0
-45580.52088,5.4,5.2,10.4
-45581.32374,5.5,6.1,9.3
-45579.95458,5.5,8.7,8.9
-45580.78615,6.8,5.1,10.4
-45579.99943,8.1,9.4,9.3
-45579.97402,8.3,9.5,10.0
-45580.63918,3.2,8.6,8.9
-45582.86061,5.1,5.2,8.9
-45580.03553,6.1,6.9,10.0
-45579.98229,6.4,11.8,10.0
-45580.61573,6.7,12.7,9.3
-45581.07835,6.9,6.2,9.3
-45580.06593,7.4,13.0,9.3
-45580.23843,3.5,9.0,10.0
-45579.92488,4.4,9.2,9.9
-45579.93514,5.0,12.4,9.4
-45580.27331,5.4,12.8,9.4
-45579.97212,5.8,12.5,10.0
-45580.60646,5.9,12.9,9.3
-45580.0538,7.0,9.0,9.3
-45580.44937,7.8,5.8,9.3
-45580.0117,9.0,7.3,10.0
-45580.22525,3.8,9.1,9.9
-45579.9668,5.5,12.4,9.9
-45579.95116,5.7,9.0,9.9
-45581.89599,5.8,6.0,9.4
-45580.09206,6.0,12.7,9.9
-45580.14113,6.1,9.2,9.4
-45580.65397,6.2,12.6,9.4
-45579.92279,6.3,9.3,9.9
-45579.95304,6.9,11.9,9.9
-45580.30418,7.4,5.4,10.3
-45580.92226,7.5,5.9,9.4
-45580.50959,3.7,8.7,9.0
-45580.03804,5.8,8.6,9.0
-45581.09549,5.9,5.3,10.3
-45580.88236,6.4,6.3,9.4
-45580.78366,6.4,12.8,9.2
-45581.29074,6.5,5.0,10.3
-45579.93179,6.7,8.4,10.3
-45580.17367,8.6,9.4,9.9
-45580.75932,9.0,8.8,9.4
-45580.51765,3.4,9.2,9.7
-45580.11315,3.8,8.5,10.1
-45580.1019,4.6,5.2,10.1
-45582.68236,5.0,5.0,8.8
-45580.23092,5.2,12.6,9.2
-45580.8002,5.4,6.3,9.2
-45580.18161,5.9,11.9,9.7
-45580.31315,6.5,12.4,9.7
-45580.01317,6.7,9.0,9.7
-45581.42961,6.8,6.0,9.2
-45580.09674,7.0,12.7,9.7
-45579.9426,7.1,9.2,9.2
-45582.07694,7.3,5.6,8.8
-45580.04864,7.5,13.2,9.2
-45580.2331,7.8,4.9,10.1
-45579.99751,8.6,8.0,10.1
-45580.15706,3.2,7.7,9.7
-45580.3844,3.8,9.3,9.6
-45580.03496,4.4,9.0,9.6
-45579.94083,4.7,6.1,9.2
-45580.01359,5.1,6.3,9.7
-45581.5005,5.5,5.0,10.1
-45579.96625,5.7,8.4,10.1
-45581.43331,6.9,5.3,10.1
-45580.01859,8.0,8.8,9.2
-45580.06452,8.2,8.9,9.7
-45580.63832,8.9,9.6,9.2
-45580.05346,5.0,6.3,9.5
-45580.02615,5.5,11.8,9.6
-45579.96885,5.7,9.2,9.6
-45580.13695,6.3,9.1,9.6
-45580.25432,6.9,12.5,9.6
-45580.18882,8.3,8.9,9.5
-45580.38568,8.6,8.8,9.6
-45580.64792,3.5,9.2,9.5
-45579.93029,5.1,5.0,10.6
-45580.28917,5.8,11.9,9.5
-45581.54434,6.4,5.2,10.2
-45580.53595,6.4,12.4,9.5
-45580.15413,6.6,9.0,9.5
-45580.18929,7.1,12.7,9.5
-45579.91261,7.2,5.6,10.6
-45580.32293,8.7,8.8,9.8
-45581.46143,5.8,5.1,10.2
-45579.94677,5.9,6.2,9.1
-45580.20399,6.5,6.1,9.1
-45579.9611,6.5,8.7,8.7
-45580.90265,9.1,9.4,9.1
-45580.07157,3.5,8.4,10.2
-45579.99226,4.0,8.7,10.2
-45579.92019,4.5,9.0,9.8
-45580.74426,5.7,12.7,9.1
-45580.20087,6.0,9.0,9.1
-45580.03719,6.2,9.1,9.8
-45580.12783,6.8,12.5,9.8
-45580.5276,7.5,4.8,10.2
-45581.15827,7.6,5.7,8.7
-45579.91196,8.3,8.1,10.2
-45579.94846,9.0,9.9,10.2
-45580.22261,3.9,9.3,9.8
